sample_ID,Long_ID,Site_code,Transect,Site_type,Month,Date,Ag_watershed
M22,BacC_M_T2,BacC,2,CA,May,2019-05-13,0.393516
M23,GarF_M_T2,GarF,2,Farm,May,2019-05-17,0.83257103
M24,GilF_M_T2,GilF,2,Farm,May,2019-05-10,0.779962
M25,HaTC_M_T2,HaTC,2,CA,May,2019-05-24,0.88186203
M26,HawC_M_T2,HawC,2,CA,May,2019-05-08,0.58319513
M27,KetC_M_T2,KetC,2,CA,May,2019-05-16,0.854290009
M28,LakC_M_T2,LakC,2,CA,May,2019-05-13,0.669237976
M29,LakF_M_T2,LakF,2,Farm,May,2019-05-08,0.70933197
M30,ParF_M_T2,ParF,2,Farm,May,2019-05-21,0.909187012
M31,Pe1F_M_T2,Pe1F,2,Farm,May,2019-05-14,0.842125015
M32,Pe2F_M_T2,Pe2F,2,Farm,May,2019-05-16,0.907343979
M33,Pe3F_M_T2,Pe3F,2,Farm,May,2019-05-07,0.778683014
M34,Pe4F_M_T2,Pe4F,2,Farm,May,2019-05-14,0.8350303
M35,PleF_M_T2,PleF,2,Farm,May,2019-05-21,0.70856102
M36,TayF_M_T2,TayF,2,Farm,May,2019-05-07,0.93875
M37,UndF_M_T2,UndF,2,Farm,May,2019-05-06,0.790153
M38,VanF_M_T2,VanF,2,Farm,May,2019-05-17,0.783021
M39,WatC_M_T2,WatC,2,CA,May,2019-05-10,0.701562
M40,WasF_M_T2,WasF,2,Farm,May,2019-05-24,0.845616989
M41,ArcC_M_T3,ArcC,3,CA,May,2019-05-17,0.828832
M42,BacC_M_T3,BacC,3,CA,May,2019-05-13,0.393516
M43,GarF_M_T3,GarF,3,Farm,May,2019-05-17,0.83257103
M44,GilF_M_T3,GilF,3,Farm,May,2019-05-10,0.779962
M45,HaTC_M_T3,HaTC,3,CA,May,2019-05-24,0.88186203
M46,HawC_M_T3,HawC,3,CA,May,2019-05-08,0.58319513
M47,KetC_M_T3,KetC,3,CA,May,2019-05-16,0.854290009
M48,LakC_M_T3,LakC,3,CA,May,2019-05-13,0.669237976
M49,LakF_M_T3,LakF,3,Farm,May,2019-05-08,0.70933197
M50,ParF_M_T3,ParF,3,Farm,May,2019-05-21,0.909187012
M51,Pe1F_M_T3,Pe1F,3,Farm,May,2019-05-14,0.842125015
M52,Pe2F_M_T3,Pe2F,3,Farm,May,2019-05-16,0.907343979
M53,Pe3F_M_T3,Pe3F,3,Farm,May,2019-05-07,0.778683014
M54,Pe4F_M_T3,Pe4F,3,Farm,May,2019-05-14,0.8350303
M55,PleF_M_T3,PleF,3,Farm,May,2019-05-21,0.70856102
M56,TayF_M_T3,TayF,3,Farm,May,2019-05-07,0.93875
M57,UndF_M_T3,UndF,3,Farm,May,2019-05-06,0.790153
M58,VanF_M_T3,VanF,3,Farm,May,2019-05-17,0.783021
M59,WatC_M_T3,WatC,3,CA,May,2019-05-10,0.701562
M60,WasF_M_T3,WasF,3,Farm,May,2019-05-24,0.845616989
M61,ArcC_M_T4,ArcC,4,CA,May,2019-05-17,0.828832
M62,BacC_M_T4,BacC,4,CA,May,2019-05-13,0.393516
M63,GarF_M_T4,GarF,4,Farm,May,2019-05-17,0.83257103
M64,GilF_M_T4,GilF,4,Farm,May,2019-05-10,0.779962
M65,HaTC_M_T4,HaTC,4,CA,May,2019-05-24,0.88186203
M66,HawC_M_T4,HawC,4,CA,May,2019-05-08,0.58319513
M67,KetC_M_T4,KetC,4,CA,May,2019-05-16,0.854290009
M68,LakC_M_T4,LakC,4,CA,May,2019-05-13,0.669237976
M69,LakF_M_T4,LakF,4,Farm,May,2019-05-08,0.70933197
M70,ParF_M_T4,ParF,4,Farm,May,2019-05-21,0.909187012
M71,Pe1F_M_T4,Pe1F,4,Farm,May,2019-05-14,0.842125015
M72,Pe2F_M_T4,Pe2F,4,Farm,May,2019-05-16,0.907343979
M73,Pe3F_M_T4,Pe3F,4,Farm,May,2019-05-07,0.778683014
M74,Pe4F_M_T4,Pe4F,4,Farm,May,2019-05-14,0.8350303
M75,PleF_M_T4,PleF,4,Farm,May,2019-05-21,0.70856102
M76,TayF_M_T4,TayF,4,Farm,May,2019-05-07,0.93875
M77,UndF_M_T4,UndF,4,Farm,May,2019-05-06,0.790153
M78,VanF_M_T4,VanF,4,Farm,May,2019-05-17,0.783021
M79,WatC_M_T4,WatC,4,CA,May,2019-05-10,0.701562
M80,WasF_M_T4,WasF,4,Farm,May,2019-05-24,0.845616989
S01,ArcC_S_T1,ArcC,1,CA,Sept,2019-09-10,0.828832
S02,BacC_S_T1,BacC,1,CA,Sept,2019-09-12,0.393516
S03,GarF_S_T1,GarF,1,Farm,Sept,2019-09-10,0.83257103
S04,GilF_S_T1,GilF,1,Farm,Sept,2019-09-11,0.779962
S05,HaTC_S_T1,HaTC,1,CA,Sept,2019-09-16,0.88186203
S06,HawC_S_T1,HawC,1,CA,Sept,2019-09-17,0.58319513
S07,KetC_S_T1,KetC,1,CA,Sept,2019-09-06,0.854290009
S08,LakC_S_T1,LakC,1,CA,Sept,2019-09-12,0.669237976
S09,LakF_S_T1,LakF,1,Farm,Sept,2019-09-17,0.70933197
S10,ParF_S_T1,ParF,1,Farm,Sept,2019-09-16,0.909187012
S11,Pe1F_S_T1,Pe1F,1,Farm,Sept,2019-09-05,0.842125015
S12,Pe2F_S_T1,Pe2F,1,Farm,Sept,2019-09-05,0.907343979
S13,Pe3F_S_T1,Pe3F,1,Farm,Sept,2019-09-06,0.778683014
S14,Pe4F_S_T1,Pe4F,1,Farm,Sept,2019-09-06,0.8350303
S15,PleF_S_T1,PleF,1,Farm,Sept,2019-09-10,0.70856102
S16,TayF_S_T1,TayF,1,Farm,Sept,2019-09-05,0.93875
S17,UndF_S_T1,UndF,1,Farm,Sept,2019-09-09,0.790153
S18,VanF_S_T1,VanF,1,Farm,Sept,2019-09-09,0.783021
S19,WasF_S_T1,WasF,1,Farm,Sept,2019-09-11,0.845616989
S20,WatC_S_T1,WatC,1,CA,Sept,2019-09-11,0.701562
S21,ArcC_S_T2,ArcC,2,CA,Sept,2019-09-10,0.828832
S22,BacC_S_T2,BacC,2,CA,Sept,2019-09-12,0.393516
S23,GarF_S_T2,GarF,2,Farm,Sept,2019-09-10,0.83257103
S24,GilF_S_T2,GilF,2,Farm,Sept,2019-09-11,0.779962
S25,HaTC_S_T1,HaTC,2,CA,Sept,2019-09-16,0.88186203
S26,HawC_S_T2,HawC,2,CA,Sept,2019-09-17,0.58319513
S27,KetC_S_T2,KetC,2,CA,Sept,2019-09-06,0.854290009
S28,LakC_S_T2,LakC,2,CA,Sept,2019-09-12,0.669237976
S29,LakF_S_T2,LakF,2,Farm,Sept,2019-09-17,0.70933197
S30,ParF_S_T2,ParF,2,Farm,Sept,2019-09-16,0.909187012
S31,Pe1F_S_T2,Pe1F,2,Farm,Sept,2019-09-05,0.842125015
S32,Pe2F_S_T2,Pe2F,2,Farm,Sept,2019-09-05,0.907343979
S33,Pe3F_S_T2,Pe3F,2,Farm,Sept,2019-09-06,0.778683014
S34,Pe4F_S_T2,Pe4F,2,Farm,Sept,2019-09-06,0.8350303
S35,PleF_S_T2,PleF,2,Farm,Sept,2019-09-10,0.70856102
S36,TayF_S_T2,TayF,2,Farm,Sept,2019-09-05,0.93875
S37,UndF_S_T2,UndF,2,Farm,Sept,2019-09-09,0.790153
S38,VanF_S_T2,VanF,2,Farm,Sept,2019-09-09,0.783021
S39,WasF_S_T2,WasF,2,Farm,Sept,2019-09-11,0.845616989
S40,WatC_S_T2,WatC,2,CA,Sept,2019-09-11,0.701562
S41,ArcC_S_T3,ArcC,3,CA,Sept,2019-09-10,0.828832
S42,BacC_S_T3,BacC,3,CA,Sept,2019-09-12,0.393516
S43,GarF_S_T3,GarF,3,Farm,Sept,2019-09-10,0.83257103
S44,GilF_S_T3,GilF,3,Farm,Sept,2019-09-11,0.779962
S45,HaTC_S_T1,HaTC,3,CA,Sept,2019-09-16,0.88186203
S46,HawC_S_T3,HawC,3,CA,Sept,2019-09-17,0.58319513
S47,KetC_S_T3,KetC,3,CA,Sept,2019-09-06,0.854290009
S48,LakC_S_T3,LakC,3,CA,Sept,2019-09-12,0.669237976
S49,LakF_S_T3,LakF,3,Farm,Sept,2019-09-17,0.70933197
S50,ParF_S_T3,ParF,3,Farm,Sept,2019-09-16,0.909187012
S51,Pe1F_S_T3,Pe1F,3,Farm,Sept,2019-09-05,0.842125015
S52,Pe2F_S_T3,Pe2F,3,Farm,Sept,2019-09-05,0.907343979
S53,Pe3F_S_T3,Pe3F,3,Farm,Sept,2019-09-06,0.778683014
S54,Pe4F_S_T3,Pe4F,3,Farm,Sept,2019-09-06,0.8350303
S55,PleF_S_T3,PleF,3,Farm,Sept,2019-09-10,0.70856102
S56,TayF_S_T3,TayF,3,Farm,Sept,2019-09-05,0.93875
S57,UndF_S_T3,UndF,3,Farm,Sept,2019-09-09,0.790153
S58,VanF_S_T3,VanF,3,Farm,Sept,2019-09-09,0.783021
S59,WasF_S_T3,WasF,3,Farm,Sept,2019-09-11,0.845616989
S60,WatC_S_T3,WatC,3,CA,Sept,2019-09-11,0.701562
S61,ArcC_S_T4,ArcC,4,CA,Sept,2019-09-10,0.828832
S62,BacC_S_T4,BacC,4,CA,Sept,2019-09-12,0.393516
S63,GarF_S_T4,GarF,4,Farm,Sept,2019-09-10,0.83257103
S64,GilF_S_T4,GilF,4,Farm,Sept,2019-09-11,0.779962
S65,HaTC_S_T1,HaTC,4,CA,Sept,2019-09-16,0.88186203
S66,HawC_S_T4,HawC,4,CA,Sept,2019-09-17,0.58319513
S67,KetC_S_T4,KetC,4,CA,Sept,2019-09-06,0.854290009
S68,LakC_S_T4,LakC,4,CA,Sept,2019-09-12,0.669237976
S69,LakF_S_T4,LakF,4,Farm,Sept,2019-09-17,0.70933197
S70,ParF_S_T4,ParF,4,Farm,Sept,2019-09-16,0.909187012
S71,Pe1F_S_T4,Pe1F,4,Farm,Sept,2019-09-05,0.842125015
S72,Pe2F_S_T4,Pe2F,4,Farm,Sept,2019-09-05,0.907343979
S73,Pe3F_S_T4,Pe3F,4,Farm,Sept,2019-09-06,0.778683014
S74,Pe4F_S_T4,Pe4F,4,Farm,Sept,2019-09-06,0.8350303
S75,PleF_S_T4,PleF,4,Farm,Sept,2019-09-10,0.70856102
S76,TayF_S_T4,TayF,4,Farm,Sept,2019-09-05,0.93875
S77,UndF_S_T4,UndF,4,Farm,Sept,2019-09-09,0.790153
S78,VanF_S_T4,VanF,4,Farm,Sept,2019-09-09,0.783021
S79,WasF_S_T4,WasF,4,Farm,Sept,2019-09-11,0.845616989
S80,WatC_S_T4,WatC,4,CA,Sept,2019-09-11,0.701562
